sample_id,age,file_name,subject_hash,quality_score,is_synthetic,signal_length,signal_mean,signal_std,signal_preview,notes
synth_16_0,16,synth_16_0.mat,hash_synth_16_0,0.85,True,1000,7.105427357601002e-18,0.9999999878473809,"[0.2509201538741237, 0.26772222883987834, 0.5012646209664077, 0.39773319199047363, 0.1625150094643672]",Synthetic sample for age 16 (fallback)
synth_16_1,16,synth_16_1.mat,hash_synth_16_1,0.85,True,1000,4.263256414560601e-17,0.9999999877525021,"[0.1256682067591698, 0.5312087990300441, 0.5382934422878696, 0.5418432264304693, 1.1061252309228962]",Synthetic sample for age 16 (fallback)
synth_19_0,19,synth_19_0.mat,hash_synth_19_0,0.85,True,1000,2.842170943040401e-17,0.9999999876731218,"[0.19270284120970815, 0.1303691238715919, 0.5756234374763226, 0.7170320421297616, 1.3076866580464284]",Synthetic sample for age 19 (fallback)
synth_19_1,19,synth_19_1.mat,hash_synth_19_1,0.85,True,1000,2.1316282072803006e-17,0.9999999876449337,"[0.23125147528966147, 0.22408227194413183, 0.27535185318795913, 0.9131586432749974, 0.8369816820113867]",Synthetic sample for age 19 (fallback)
synth_26_0,26,synth_26_0.mat,hash_synth_26_0,0.85,True,1000,-2.1316282072803006e-17,0.9999999878783882,"[-0.24437206765173636, -0.22882783435212334, 0.5468774729380325, 0.4809123607609155, 0.8137149419129208]",Synthetic sample for age 26 (fallback)
synth_26_1,26,synth_26_1.mat,hash_synth_26_1,0.85,True,1000,-2.1316282072803006e-17,0.9999999878751318,"[-0.22434278472296768, 0.40702708060399384, 0.5241397143211456, 0.6599817808451826, 0.6872186214390352]",Synthetic sample for age 26 (fallback)
synth_47_0,47,synth_47_0.mat,hash_synth_47_0,0.85,True,1000,1.0658141036401503e-17,0.9999999877161299,"[0.04396130342615976, 0.3850357560420491, 0.3454013291861949, 0.30791344028653567, 0.5227692325513905]",Synthetic sample for age 47 (fallback)
synth_47_1,47,synth_47_1.mat,hash_synth_47_1,0.85,True,1000,1.0658141036401503e-17,0.9999999877232633,"[-0.059803093553584416, 0.28163918308271557, 0.20448716647119342, 0.8565784880269598, 0.5434968783588956]",Synthetic sample for age 47 (fallback)
synth_1_2,1,synth_1_2.mat,hash_synth_1_2,0.85,True,1000,-1.4210854715202004e-17,0.9999999876096899,"[-0.027831751196117572, -0.20115664323954152, -0.04659432070881309, 0.9707091392066417, 0.4283480233931612]",Synthetic sample for age 1 (fallback)
synth_2_2,2,synth_2_2.mat,hash_synth_2_2,0.85,True,1000,-3.1974423109204506e-17,0.9999999875036103,"[0.011660626784802265, 0.18743057661983129, 0.5853522461253553, 0.4356046322662876, 1.0362612626578047]",Synthetic sample for age 2 (fallback)
synth_3_2,3,synth_3_2.mat,hash_synth_3_2,0.85,True,1000,0.0,0.9999999878821294,"[-0.08289474804469811, 0.3865721024587122, 0.20868045679030214, 0.9090980100990877, 0.6906198102046789]",Synthetic sample for age 3 (fallback)
synth_4_2,4,synth_4_2.mat,hash_synth_4_2,0.85,True,1000,4.9737991503207014e-17,0.999999987605811,"[0.07354985871383082, 0.33194987216777505, 0.7256264843214769, 0.7720287819542143, 0.7886272138322862]",Synthetic sample for age 4 (fallback)
synth_11_2,11,synth_11_2.mat,hash_synth_11_2,0.85,True,1000,2.842170943040401e-17,0.9999999877275695,"[-0.05206043054568022, 0.312704730314441, 0.299011790137312, 0.10830344947740134, 0.8259233471260439]",Synthetic sample for age 11 (fallback)
synth_16_2,16,synth_16_2.mat,hash_synth_16_2,0.85,True,1000,-1.4210854715202004e-17,0.9999999877281581,"[0.1420553535231559, -0.17918431725902215, 0.8175693480367137, 0.4627733438117925, 0.6616632686601276]",Synthetic sample for age 16 (fallback)
synth_19_2,19,synth_19_2.mat,hash_synth_19_2,0.85,True,1000,1.4210854715202004e-17,0.9999999877038172,"[0.33173541394625267, 0.21972362892897543, -0.03383396671333998, 0.47009771818699403, 0.826476681073256]",Synthetic sample for age 19 (fallback)
synth_26_2,26,synth_26_2.mat,hash_synth_26_2,0.85,True,1000,-1.4210854715202004e-17,0.9999999877479815,"[0.16383353692410746, -0.03746443092667542, 0.7281104408651332, 0.7477738952235244, 0.7301791173139501]",Synthetic sample for age 26 (fallback)
