sample_id,age,file_name,subject_hash,quality_score,is_synthetic,signal_length,signal_mean,signal_std,signal_preview,notes
synth_5_0,5,synth_5_0.mat,hash_synth_5_0,0.85,True,1000,2.842170943040401e-17,0.9999999876491851,"[-0.1179106306900999, 0.13693965101753733, 0.190222791353023, 0.18177524344681759, 0.5397767770006091]",Synthetic sample for age 5 (fallback)
synth_5_1,5,synth_5_1.mat,hash_synth_5_1,0.85,True,1000,4.263256414560601e-17,0.999999987897221,"[0.238937567854961, 0.3696756600143821, 0.20931899382121477, 0.37485498640917075, 0.4195483050461453]",Synthetic sample for age 5 (fallback)
synth_6_0,6,synth_6_0.mat,hash_synth_6_0,0.85,True,1000,4.9737991503207014e-17,0.9999999876974769,"[-0.03627652897369781, 0.01666925022119213, -0.17341477124905177, 0.11718023601641973, 0.9575249416688703]",Synthetic sample for age 6 (fallback)
synth_6_1,6,synth_6_1.mat,hash_synth_6_1,0.85,True,1000,-7.105427357601002e-18,0.9999999877037795,"[0.03181043747863238, 0.314162112687657, 0.03265705302702454, 0.6623274038402622, 0.8598036201144239]",Synthetic sample for age 6 (fallback)
synth_7_0,7,synth_7_0.mat,hash_synth_7_0,0.85,True,1000,3.1974423109204506e-17,0.9999999876417298,"[0.06078096532589241, 0.38628511983385383, 0.2816470121040129, 0.3604469134514911, 0.7223830382261034]",Synthetic sample for age 7 (fallback)
synth_7_1,7,synth_7_1.mat,hash_synth_7_1,0.85,True,1000,-3.1974423109204506e-17,0.9999999877816778,"[-0.025905535564494313, 0.2775142152682563, 0.29531740463009093, 0.8233235416938877, 0.7750222843408375]",Synthetic sample for age 7 (fallback)
synth_10_0,10,synth_10_0.mat,hash_synth_10_0,0.85,True,1000,7.105427357601002e-18,0.9999999875926975,"[0.18963815451655283, 0.3569403936639727, 0.1763279403336257, 0.07651709025519429, 0.8422091437829362]",Synthetic sample for age 10 (fallback)
synth_10_1,10,synth_10_1.mat,hash_synth_10_1,0.85,True,1000,-1.4210854715202004e-17,0.9999999877364033,"[0.02481528362333453, 0.4078311422279277, 0.0950319471191789, 0.4210052862667436, 0.8192236854164213]",Synthetic sample for age 10 (fallback)
synth_11_0,11,synth_11_0.mat,hash_synth_11_0,0.85,True,1000,-4.263256414560601e-17,0.9999999879020669,"[0.12480023757118043, -0.10408052774565162, 0.7562754397415666, 0.5446847457215427, 0.7004682836261309]",Synthetic sample for age 11 (fallback)
synth_11_1,11,synth_11_1.mat,hash_synth_11_1,0.85,True,1000,-2.1316282072803006e-17,0.9999999875996465,"[0.12604176133402994, 0.2757152338487048, 0.26502558104186474, 0.8034469213466142, 0.7690870011851549]",Synthetic sample for age 11 (fallback)
synth_12_0,12,synth_12_0.mat,hash_synth_12_0,0.85,True,1000,-3.1974423109204506e-17,0.9999999879045341,"[0.18076640393233126, 0.22128808522809224, 0.5055298544926924, 0.38181396460582545, 0.9390835862742017]",Synthetic sample for age 12 (fallback)
synth_12_1,12,synth_12_1.mat,hash_synth_12_1,0.85,True,1000,1.7763568394002505e-17,0.9999999876644309,"[0.0588853499431232, 0.29062839869579127, 0.24246702512694124, 0.2843463207277921, 0.19775681966233785]",Synthetic sample for age 12 (fallback)
synth_13_0,13,synth_13_0.mat,hash_synth_13_0,0.85,True,1000,2.1316282072803006e-17,0.999999987717464,"[0.05078589816035034, 0.19199724454613015, 0.2613811726785749, 0.6949823072242923, 0.688947051279792]",Synthetic sample for age 13 (fallback)
synth_13_1,13,synth_13_1.mat,hash_synth_13_1,0.85,True,1000,-3.552713678800501e-17,0.9999999878559694,"[-0.6908518613179214, 0.07111422411277145, 0.5059589099506822, 0.31007431730272045, 0.7297775662070586]",Synthetic sample for age 13 (fallback)
synth_16_0,16,synth_16_0.mat,hash_synth_16_0,0.85,True,1000,-7.105427357601002e-18,0.999999987735865,"[0.5760151805030905, 0.21284201004440143, 0.10408458462314357, 0.5430206737843885, 1.00952789641086]",Synthetic sample for age 16 (fallback)
synth_16_1,16,synth_16_1.mat,hash_synth_16_1,0.85,True,1000,-7.105427357601002e-18,0.9999999875527812,"[-0.17969297225193281, 0.08695340467601613, 0.6115975492760543, -0.03948845627083965, 0.9272197046142019]",Synthetic sample for age 16 (fallback)
synth_19_0,19,synth_19_0.mat,hash_synth_19_0,0.85,True,1000,-1.4210854715202004e-17,0.9999999879245962,"[-0.13309021578984606, 0.18621410505862548, 0.16588351508007715, 0.4766657674992086, 0.7256785223239476]",Synthetic sample for age 19 (fallback)
synth_19_1,19,synth_19_1.mat,hash_synth_19_1,0.85,True,1000,3.1974423109204506e-17,0.9999999877490066,"[-0.05582058665098456, 0.1328279162141144, 0.4089050000655467, 1.175958715132878, 0.7491189264684731]",Synthetic sample for age 19 (fallback)
synth_26_0,26,synth_26_0.mat,hash_synth_26_0,0.85,True,1000,-1.4210854715202004e-17,0.9999999877846982,"[-0.31800460999088564, 0.3031890628346608, 0.11268661425544622, 0.4305727753576439, 0.41247349208651685]",Synthetic sample for age 26 (fallback)
synth_26_1,26,synth_26_1.mat,hash_synth_26_1,0.85,True,1000,0.0,0.9999999876838136,"[0.26015096033296237, -0.030429430665538753, 0.29620840496914885, 0.39849771038855936, 1.0001050385139123]",Synthetic sample for age 26 (fallback)
synth_47_0,47,synth_47_0.mat,hash_synth_47_0,0.85,True,1000,-3.552713678800501e-17,0.9999999877655545,"[-0.21863312982569463, 0.25299199559522534, 0.23183471132288372, 0.6852316277619078, 0.7381621400386094]",Synthetic sample for age 47 (fallback)
synth_47_1,47,synth_47_1.mat,hash_synth_47_1,0.85,True,1000,-1.7763568394002505e-17,0.9999999877797189,"[-0.16704274684691314, -0.018222830517630316, 0.21410886541543445, 0.8775829177088489, 0.33476377940608665]",Synthetic sample for age 47 (fallback)
synth_0_2,0,synth_0_2.mat,hash_synth_0_2,0.85,True,1000,0.0,0.9999999875823209,"[0.07632402746637412, -0.263301774656028, 0.3299857835822718, 0.3120344867407399, 0.7562990306193418]",Synthetic sample for age 0 (fallback)
synth_1_2,1,synth_1_2.mat,hash_synth_1_2,0.85,True,1000,0.0,0.9999999877707059,"[-0.23409997529844298, 0.2588120173626318, 0.44951987706284746, 0.7216994570322974, 0.8361958947719637]",Synthetic sample for age 1 (fallback)
synth_3_2,3,synth_3_2.mat,hash_synth_3_2,0.85,True,1000,-1.4210854715202004e-17,0.99999998772702,"[-0.12092652360784148, 0.3597202255814174, 0.9412738168941904, 0.47694504527210557, 0.6045072268877729]",Synthetic sample for age 3 (fallback)
synth_5_2,5,synth_5_2.mat,hash_synth_5_2,0.85,True,1000,-7.105427357601002e-18,0.9999999876784624,"[0.3039878665566701, 0.27373163147802226, 0.36650068888890314, 0.4189510250549761, 0.7649811967247107]",Synthetic sample for age 5 (fallback)
synth_6_2,6,synth_6_2.mat,hash_synth_6_2,0.85,True,1000,0.0,0.9999999876625416,"[0.2718949829508424, -0.2771482488872655, 0.3821536696531749, 0.5245224795354548, 0.632157823727702]",Synthetic sample for age 6 (fallback)
synth_10_2,10,synth_10_2.mat,hash_synth_10_2,0.85,True,1000,3.552713678800501e-18,0.9999999877298207,"[0.6156952335477309, 0.37216846925021646, 0.34796171208722415, 0.8785002853486901, 0.7719146834374842]",Synthetic sample for age 10 (fallback)
synth_12_2,12,synth_12_2.mat,hash_synth_12_2,0.85,True,1000,0.0,0.9999999876476952,"[0.16925174026289744, 0.031056604270375307, 0.6901602420445415, 0.2156558785112261, 0.8918618199510048]",Synthetic sample for age 12 (fallback)
synth_13_2,13,synth_13_2.mat,hash_synth_13_2,0.85,True,1000,2.4868995751603507e-17,0.9999999876661252,"[0.12424512637819497, 0.07061575302680566, 0.40235921335629365, 0.2630906135598517, 0.7486310791111177]",Synthetic sample for age 13 (fallback)
